iter	Passed	Remaining
0	1	113
1	2	110
2	3	105
3	4	98
4	4	94
5	5	92
6	6	90
7	7	88
8	8	86
9	9	85
10	10	83
11	11	82
12	12	81
13	13	80
14	14	79
15	15	78
16	16	78
17	17	77
18	17	76
19	18	75
20	19	74
21	20	73
22	21	71
23	22	70
24	23	69
25	24	68
26	25	67
27	26	66
28	26	66
29	27	65
30	29	66
31	31	66
32	32	65
33	34	66
34	35	65
35	38	68
36	39	66
37	40	65
38	41	64
39	43	65
40	44	64
41	45	62
42	46	61
43	47	60
44	48	59
45	49	58
46	50	57
47	52	56
48	53	55
49	54	54
50	55	53
51	56	52
52	57	51
53	58	50
54	59	48
55	60	47
56	61	46
57	62	45
58	63	44
59	64	42
60	65	41
61	66	40
62	67	39
63	68	38
64	69	37
65	69	36
66	70	34
67	71	33
68	72	32
69	73	31
70	74	30
71	75	29
72	76	28
73	77	27
74	78	26
75	79	25
76	80	24
77	81	23
78	82	22
79	83	20
80	84	19
81	85	18
82	86	17
83	87	16
84	88	15
85	89	14
86	90	13
87	91	12
88	92	11
89	93	10
90	94	9
91	95	8
92	96	7
93	97	6
94	98	5
95	98	4
96	99	3
97	100	2
98	101	1
99	102	0
